sku,cat1,cat2,cat3
15016,Salud,Aparato Respiratorio,nariz
15017,Salud,Vitaminas y Minerales,Suplementos
15018,Salud,Trastornos digestivos ,Flora intestinal y digestión
150204,Higiene y cuidado personal,Íntima,Compresas
15021,Nutrición,Pérdida de peso,Quemagrasas
150210,Cosmética y Belleza,Corporal,Hidratación
150228,Higiene y cuidado personal,Nariz y oído,Limpieza
150229,Higiene y cuidado personal,Pies,Hidratantes Pies
15023,Salud,Aromaterapia,Aceites esenciales
150238,Salud,Vitaminas y Minerales,Suplementos
15024,Salud,Aparato Urinario,Próstata
15025,Salud,Vitaminas y Minerales,Suplementos
15026,Nutrición,Pérdida de peso,Quemagrasas
150267,Cosmética y Belleza,Facial,Antiarrugas
150326,Cosmética y Belleza,Sol,After-Sun
150330,Higiene y cuidado personal,Dental,Dentífricos
150331,Higiene y cuidado personal,Dental,Dentífricos
150357,Cosmética y Belleza,Corporal,Hidratación
150358,Cosmética y Belleza,Labial,Hidratantes Labiales
150362,Higiene y cuidado personal,Dental,Dentífricos
150381,Cosmética y Belleza,Labial,Hidratantes Labiales
150390,Higiene y cuidado personal,Nariz y oído,Tapones y protección
150402,Infantil,Higiene infantil,Gel-Champú
150410,Higiene y cuidado personal,Cabello,Peinado y tratamiento
150417,Salud,Vitaminas y Minerales,Suplementos
15042,Salud,Salud Sexual,Accesorios
150424,Salud,Problemas cardiovasculares y circulación,Piernas cansadas y varices
150447,Infantil,Higiene infantil,Gel-Champú
150448,Infantil,Higiene infantil,Hidratantes
150449,Infantil,Higiene infantil,Gel-Champú
150450,Infantil,Higiene infantil,Hidratantes
150451,Infantil,Higiene infantil,Hidratantes
150452,Infantil,Higiene infantil,Hidratantes
150453,Higiene y cuidado personal,Nariz y oído,Limpieza
150513,Nutrición,Nutrición específica,Niños
150522,Higiene y cuidado personal,Dental,Cepillos Interdentales
150523,Higiene y cuidado personal,Dental,Cepillos Interdentales
150525,Higiene y cuidado personal,Dental,Cepillos Interdentales
150526,Higiene y cuidado personal,Dental,Cepillos Interdentales
150527,Higiene y cuidado personal,Dental,Cepillos Interdentales
150528,Higiene y cuidado personal,Dental,Cepillos Interdentales
150529,Higiene y cuidado personal,Dental,Cepillos Interdentales
150530,Higiene y cuidado personal,Dental,Cepillos Interdentales
150536,Infantil,Higiene infantil,Gel-Champú
150539,Infantil,Higiene infantil,Gel-Champú
150588,Higiene y cuidado personal,Dental,Colutorios
150589,Cosmética y Belleza,Facial,Piel Atópica
150605,Higiene y cuidado personal,Nariz y oído,Tapones y protección
15061,Salud,Aparato Urinario,Incontinencia
150614,Higiene y cuidado personal,Dental,Cuidados Especiales
150654,Cosmética y Belleza,Corporal,Hidratación
150658,Salud,Vitaminas y Minerales,Suplementos
150673,Cosmética y Belleza,Uñas,Quitaesmalte
150675,Infantil,Higiene infantil,Esponjas
150676,Infantil,Higiene infantil,Esponjas
150683,Salud,Fertilidad,Fertilidad y concepción
150692,Salud,Mujer,Embarazo y lactancia
150694,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
150710,Higiene y cuidado personal,Cabello,Champu
150711,Higiene y cuidado personal,Cabello,Champu
150712,Higiene y cuidado personal,Cabello,Champu
150713,Cosmética y Belleza,Corporal,Celulitis
150715,Salud,Trastornos digestivos ,Gases
150729,Infantil,Higiene infantil,Toallitas Bebé
150731Blanco,Infantil,Chupetes,Cadenitas Chupetes
150741,Nutrición,Pérdida de peso,Drenajes
150745,Salud,Trastornos digestivos ,Flora intestinal y digestión
150770,Infantil,Biberones,Calienta Biberones
150773,Infantil,Biberones,Tetinas
150775,Infantil,Biberones,Biberones
150776,Infantil,Biberones,Biberones
150780,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
150781,Salud,Mujer,Menopausia
150798,Cosmética y Belleza,Labial,Hidratantes Labiales
150799,Cosmética y Belleza,Labial,Hidratantes Labiales
150805,Infantil,Lactancia,Cuidado del Pezón
150821,Cosmética y Belleza,Ojos,Pestañas
150823,Higiene y cuidado personal,Dental,Colutorios
150824,Higiene y cuidado personal,Dental,Dentífricos
150825,Infantil,Higiene infantil,Gel-Champú
150826,Cosmética y Belleza,Facial,Hidratantes
150827,Cosmética y Belleza,Facial,Hidratantes
150829,Higiene y cuidado personal,Corporal,Desodorantes
150854,Higiene y cuidado personal,Dental,Dentífricos
150892,Higiene y cuidado personal,Dental,Cepillos
150893,Higiene y cuidado personal,Dental,Cepillos Interdentales
150922,Higiene y cuidado personal,Cabello,Anticaspa
150923.9,Infantil,Higiene infantil,Costra Láctea
150928,Salud,Aparato Urinario,Próstata
150942,Higiene y cuidado personal,Cabello,Mascarillas
150944,Cosmética y Belleza,Ojos,Contorno de Ojos
1509536,Cosmética y Belleza,Facial,Antimanchas
150961,Higiene y cuidado personal,Dental,Cuidados Especiales
150980,Cosmética y Belleza,Labial,Hidratantes Labiales
150982,Higiene y cuidado personal,Dental,Dentífricos
150982Pack,Higiene y cuidado personal,Dental,Dentífricos
150983,Cosmética y Belleza,Facial,Acné
150984,Higiene y cuidado personal,Corporal,Geles
150990,Higiene y cuidado personal,Pies,Hidratantes Pies
150992,Higiene y cuidado personal,Pies,Limas y durezas
150994,Higiene y cuidado personal,Pies,Limas y durezas
150996,Salud,Fertilidad,Fertilidad y concepción
151006,Cosmética y Belleza,Facial,Acné
151007,Cosmética y Belleza,Facial,Acné
151064,Salud,Salud Sexual,Preservativos
151066,Higiene y cuidado personal,Cabello,Anticaspa
151072,Cosmética y Belleza,Facial,Maquillajes
151101,Cosmética y Belleza,Facial,Acné
151101+363390+363374,Cosmética y Belleza,Facial,Acné
151102,Higiene y cuidado personal,Facial,Mascarillas
151103,Cosmética y Belleza,Manos,Crema de Manos
151105,Higiene y cuidado personal,Cabello,Champu
151113,Infantil,Higiene infantil,Costra Láctea
151117duplo,Higiene y cuidado personal,Dental,Cepillos
151151,Salud,Belleza,Piel
151152,Salud,Botiquín,Quemaduras y cicatrices
151155,Salud,Botiquín,Quemaduras y cicatrices
151179,Infantil,Chupetes,Chupetes de Silicona
151185,Infantil,Biberones,Tetinas
151186,Infantil,Biberones,Tetinas
151187,Infantil,Biberones,Tetinas
151188.azul.latex,Infantil,Chupetes,Chupetes de Latex o Caucho
151188.rosa.latex,Infantil,Chupetes,Chupetes de Latex o Caucho
151189.AZUL,Infantil,Chupetes,Chupetes de Silicona
151190.RosaBlanco,Infantil,Chupetes,Chupetes de Latex o Caucho
151195.Azules,Infantil,Chupetes,Chupetes de Latex o Caucho
151215,Cosmética y Belleza,Facial,Acné
151216,Cosmética y Belleza,Facial,Acné
151225,Higiene y cuidado personal,Dental,Colutorios
151225.duplo,Higiene y cuidado personal,Dental,Colutorios
151238,Salud,Botiquín,Guantes
151253,Cosmética y Belleza,Sol,Protectores solares
151255,Cosmética y Belleza,Sol,Protectores solares
151289,Salud,Botiquín,Termómetros
151290,Salud,Vitaminas y Minerales,Jalea real
151295,Salud,Descanso y relajación,
151309,Higiene y cuidado personal,Nariz y oído,Limpieza
151329,Higiene y cuidado personal,Dental,Prótesis Dentales
151334,Cosmética y Belleza,Facial,Hidratantes
151336,Cosmética y Belleza,Corporal,Hidratación
151337,Cosmética y Belleza,Facial,Acné
151338,Cosmética y Belleza,Facial,Antiarrugas
151358,Cosmética y Belleza,Facial,Rojeces
151359,Cosmética y Belleza,Facial,Antiarrugas
151360,Cosmética y Belleza,Facial,Antiarrugas
151365,Salud,Belleza,Cabello | Uñas
151370,Higiene y cuidado personal,Dental,Colutorios
151370.duplo,Higiene y cuidado personal,Dental,Colutorios
151398,Higiene y cuidado personal,Nariz y oído,Limpieza
151441,Higiene y cuidado personal,Íntima,Hidratantes
151455,Salud,Salud Sexual,Preservativos
151457,Salud,Salud Sexual,Preservativos
151465,Cosmética y Belleza,Sol,Aceite Solar
151478.3,Cosmética y Belleza,Facial,Dermatitis y Eczemas
151479,Cosmética y Belleza,Facial,Hidratantes
151487,Higiene y cuidado personal,Nariz y oído,Limpieza
151503,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
151505,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
151506,Cosmética y Belleza,Facial,Dermatitis y Eczemas
151508,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
"151513,Nutrición,Alimentos,""Cremas, salsas y siropes"""
151515,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
151516,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
151518,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
151518Duplo,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
151530,Higiene y cuidado personal,Dental,Cepillos Interdentales
151548,Higiene y cuidado personal,Dental,Cepillos Interdentales
151552,Higiene y cuidado personal,Cabello,Anticaída
151567,Cosmética y Belleza,Facial,Acné
151569,Cosmética y Belleza,Facial,Hidratantes
151570,Cosmética y Belleza,Facial,Serum
151571,Cosmética y Belleza,Ojos,Lapiz y sombra de Ojos
151589,Cosmética y Belleza,Ojos,Lapiz y sombra de Ojos
151593,Nutrición,Pérdida de peso,Drenajes
151603,Higiene y cuidado personal,Cabello,Champu
151604,Higiene y cuidado personal,Cabello,Peinado y tratamiento
151617,Cosmética y Belleza,Uñas,Pintauñas
151754,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
151778,Higiene y cuidado personal,Cabello,Piojos
151779,Cosmética y Belleza,Sol,Protectores solares
151785,Salud,Botiquín,Termómetros
151793,Salud,Vitaminas y Minerales,Multivitamínicos
151795,Cosmética y Belleza,Sol,Protectores solares
151796,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
151797,Cosmética y Belleza,Facial,Rojeces
151810,Cosmética y Belleza,Sol,Protectores solares
151813,Higiene y cuidado personal,Facial,Exfoliantes
151842,Salud,Óptica,Toallitas Oculares
151843,Higiene y cuidado personal,Corporal,Desodorantes
151852,Higiene y cuidado personal,Íntima,Incontinencia
151854,Cosmética y Belleza,Sol,Protectores solares
151857,Cosmética y Belleza,Sol,Protectores solares
151858,Cosmética y Belleza,Sol,Protectores solares
151859,Cosmética y Belleza,Sol,After-Sun
151862,Salud,Aparato Respiratorio,Garganta y tos
151908,Higiene y cuidado personal,Dental,Cepillos
151926,Salud,Vitaminas y Minerales,Suplementos
151937,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
151949,Salud,Vitaminas y Minerales,Multivitamínicos
151982,Higiene y cuidado personal,Dental,Hilo Dental
151986,Salud,Óptica,Colirios
152008,Salud,Vitaminas y Minerales,Multivitamínicos
15201,Salud,Vitaminas y Minerales,Suplementos
152010,Nutrición,Nutrición específica,Niños
152048,Higiene y cuidado personal,Dental,Colutorios
152049,Higiene y cuidado personal,Dental,Colutorios
152050,Higiene y cuidado personal,Dental,Dentífricos
152073,Salud,Vitaminas y Minerales,Multivitamínicos
152074,Higiene y cuidado personal,Dental,Cepillos Interdentales
152103,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152118,Salud,Botiquín,Dolor de Cabeza
152122,Salud,Botiquín,Antimosquitos
152129,Higiene y cuidado personal,Cabello,Peinado y tratamiento
152140pack,Cosmética y Belleza,Facial,Acné
152144,Cosmética y Belleza,Sol,Protectores solares
152148,Salud,Belleza,Cabello | Uñas
152149,Salud,Problemas cardiovasculares y circulación,Colesterol
152154,Cosmética y Belleza,Corporal,Reductores y reafirmantes
152164,Cosmética y Belleza,Facial,Antimanchas
152166,Cosmética y Belleza,Facial,Antimanchas
152181,Cosmética y Belleza,Facial,Acné
152184,Higiene y cuidado personal,Corporal,Geles
152185,Higiene y cuidado personal,Corporal,Geles
152186,Cosmética y Belleza,Sol,Protectores solares
152187,Cosmética y Belleza,Sol,Protectores solares
152191,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152191X2,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152195,Higiene y cuidado personal,Dental,Colutorios
152196,Higiene y cuidado personal,Dental,Colutorios
152197,Higiene y cuidado personal,Dental,Colutorios
152197.363838,Higiene y cuidado personal,Dental,Colutorios
152231,Cosmética y Belleza,Ojos,Contorno de Ojos
152241.azul,Infantil,Biberones,Biberones
152241.plateado,Infantil,Biberones,Biberones
152242,Higiene y cuidado personal,Íntima,Incontinencia
152263,Higiene y cuidado personal,Nariz y oído,Limpieza
152281,Cosmética y Belleza,Corporal,Hidratación
152281+169308,Cosmética y Belleza,Corporal,Piel Seca y atópica
152283,Salud,Botiquín,Termómetros
152287,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152289,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152307,Salud,Trastornos digestivos ,Gases
152332,Infantil,Higiene infantil,Gel-Champú
152340,Infantil,Higiene infantil,Colonias
152345,Higiene y cuidado personal,Íntima,Hidratantes
152346,Cosmética y Belleza,Corporal,Urticaria y Psoriasis
152347,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152349,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152357,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152359,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152361,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152366,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
"152379,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
152382,Cosmética y Belleza,Corporal,Hidratación
152477,Higiene y cuidado personal,Cabello,Peinado y tratamiento
152478,Cosmética y Belleza,Facial,Antimanchas
152515,Higiene y cuidado personal,Nariz y oído,Tapones y protección
152536,Cosmética y Belleza,Sol,Protectores solares
152543,Salud,Mujer,Embarazo y lactancia
152548,Cosmética y Belleza,Facial,Hidratantes
152552,Cosmética y Belleza,Facial,Serum
152558,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152558Duplo,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
152560,Salud,Salud Sexual,Lubricantes
152616,Cosmética y Belleza,Perfumería,Infantil
152641,Salud,Aparato Urinario,cistitis
152643,Higiene y cuidado personal,Nariz y oído,Limpieza
152644,Higiene y cuidado personal,Nariz y oído,Limpieza
152651,Higiene y cuidado personal,Facial,Exfoliantes
152666,Cosmética y Belleza,Facial,Antiarrugas
152667,Cosmética y Belleza,Facial,Antiarrugas
152668,Cosmética y Belleza,Facial,Antiarrugas
152670,Cosmética y Belleza,Ojos,Contorno de Ojos
152677,Higiene y cuidado personal,Dental,Prótesis Dentales
152681,Infantil,Higiene infantil,Gel-Champú
152689,Cosmética y Belleza,Facial,Acné
152700,Cosmética y Belleza,Facial,Acné
152725,Cosmética y Belleza,Corporal,Reductores y reafirmantes
152729,Infantil,Higiene infantil,Pieles Atópicas
152733,Cosmética y Belleza,Sol,Protección Nieve
152734,Higiene y cuidado personal,Pies,Hidratantes Pies
152741,Cosmética y Belleza,Ojos,Contorno de Ojos
"152742,Salud,Botiquín,""Apósitos, tiritas y gasas"""
152762,Cosmética y Belleza,Facial,Antiarrugas
152783,Salud,Vitaminas y Minerales,Minerales
152792,Cosmética y Belleza,Corporal,Estrias
152795,Higiene y cuidado personal,Íntima,Hidratantes
152796,Infantil,Lactancia,Cuidado del Pezón
152797,Cosmética y Belleza,Corporal,Estrias
152802,Higiene y cuidado personal,Cabello,Champu
152803,Higiene y cuidado personal,Cabello,Champu
152804,Higiene y cuidado personal,Cabello,Champu
152818,Nutrición,Pérdida de peso,Quemagrasas
152820,Higiene y cuidado personal,Dental,Blanqueamiento Dental
152823,Higiene y cuidado personal,Cabello,Mascarillas
152829,Higiene y cuidado personal,Dental,Colutorios
152831,Higiene y cuidado personal,Cabello,Tintes de Pelo
152832,Higiene y cuidado personal,Cabello,Tintes de Pelo
152833,Higiene y cuidado personal,Cabello,Champús especiales
152834,Higiene y cuidado personal,Dental,Prótesis Dentales
152836,Higiene y cuidado personal,Dental,Prótesis Dentales
152863,Salud,Belleza,Antienvejecimiento
152871,Salud,Vitaminas y Minerales,Suplementos
152872,Salud,Vitaminas y Minerales,Suplementos
152874,Salud,Vitaminas y Minerales,Suplementos
152877,Salud,Vitaminas y Minerales,Suplementos
152878,Salud,Vitaminas y Minerales,Suplementos
152879,Salud,Vitaminas y Minerales,Suplementos
152882,Salud,Vitaminas y Minerales,Suplementos
152885,Cosmética y Belleza,Sol,Protectores solares
152888,Cosmética y Belleza,Facial,Rojeces
152889,Cosmética y Belleza,Sol,Protectores solares
152890,Cosmética y Belleza,Facial,Antimanchas
152914,Salud,Botiquín,Quemaduras y cicatrices
152932,Salud,Botiquín,Quemaduras y cicatrices
152935,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
152937,Higiene y cuidado personal,Cabello,Champu
152938,Higiene y cuidado personal,Cabello,Peinado y tratamiento
152941,Higiene y cuidado personal,Cabello,Champu
152943,Higiene y cuidado personal,Cabello,Champu
152944,Higiene y cuidado personal,Cabello,Peinado y tratamiento
152953,Higiene y cuidado personal,Dental,Colutorios
152968,Cosmética y Belleza,Facial,Antiarrugas
152969,Cosmética y Belleza,Sol,Protectores solares
152970,Cosmética y Belleza,Facial,Rojeces
152977,Cosmética y Belleza,Ojos,Contorno de Ojos
152982,Higiene y cuidado personal,Dental,Cuidados Especiales
152989,Higiene y cuidado personal,Cabello,Anticaída
152989.Pack,Higiene y cuidado personal,Cabello,Anticaída
153018,Salud,Óptica,Colirios
153025,Higiene y cuidado personal,Dental,Cepillos Interdentales
153026,Infantil,Biberones,Biberones
153026Naranja,Infantil,Biberones,Biberones
153026Rojo,Infantil,Biberones,Biberones
153026Verde,Infantil,Biberones,Biberones
153028,Infantil,Biberones,Biberones
153029,Infantil,Chupetes,Chupetes de Latex o Caucho
153030,Infantil,Chupetes,Chupetes de Latex o Caucho
153032,Infantil,Chupetes,Chupetes de Latex o Caucho
153033,Infantil,Chupetes,Chupetes de Silicona
153034,Infantil,Chupetes,Chupetes de Latex o Caucho
153049,Higiene y cuidado personal,Dental,Cepillos Interdentales
153062,Cosmética y Belleza,Corporal,Piel Seca y atópica
153063,Cosmética y Belleza,Corporal,Hidratación
153067,Nutrición,Pérdida de peso,Drenajes
153120,Higiene y cuidado personal,Dental,Colutorios
153135,Cosmética y Belleza,Corporal,Urticaria y Psoriasis
153136,Cosmética y Belleza,Corporal,Urticaria y Psoriasis
153168.AzulClaro,Salud,Botiquín,Antimosquitos
153168.barquito,Salud,Botiquín,Antimosquitos
153168.Camuflaje,Salud,Botiquín,Antimosquitos
153168.coco,Salud,Botiquín,Antimosquitos
153168.helado,Salud,Botiquín,Antimosquitos
153168.Naranja,Salud,Botiquín,Antimosquitos
153168.Negro,Salud,Botiquín,Antimosquitos
153168.NegroCuadritos,Salud,Botiquín,Antimosquitos
153168.osito,Salud,Botiquín,Antimosquitos
153168.princesas,Salud,Botiquín,Antimosquitos
153168.RojaFlores,Salud,Botiquín,Antimosquitos
153168.Rosa,Salud,Botiquín,Antimosquitos
153168.RosaFlor,Salud,Botiquín,Antimosquitos
153168.tucan,Salud,Botiquín,Antimosquitos
153177,Cosmética y Belleza,Facial,Antiarrugas
153181,Higiene y cuidado personal,Dental,Prótesis Dentales
153184,Infantil,Higiene infantil,Hidratantes
153193,Cosmética y Belleza,Manos,Crema de Manos
153194,Cosmética y Belleza,Corporal,Reductores y reafirmantes
153195,Higiene y cuidado personal,Corporal,Geles
153196,Cosmética y Belleza,Facial,Antiarrugas
153208,Salud,Trastornos digestivos ,
153215,Cosmética y Belleza,Ojos,Contorno de Ojos
153222,Higiene y cuidado personal,Cabello,Anticaída
153226,Nutrición,Pérdida de peso,Drenajes
153235,Higiene y cuidado personal,Dental,Cepillos
153240,Higiene y cuidado personal,Corporal,Geles
153240.Formatoviaje,Higiene y cuidado personal,Corporal,Geles
153241,Higiene y cuidado personal,Facial,Exfoliantes
153243,Cosmética y Belleza,Corporal,Piel Seca y atópica
153245,Salud,Trastornos digestivos ,Ardor y reflujo
"153291,Salud,Botiquín,""Apósitos, tiritas y gasas"""
153329,Salud,Mujer,Embarazo y lactancia
"153335,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
"153336,Salud,""Huesos, articulaciones y músculos"",Recuperación muscular"
153359,Salud,Trastornos digestivos ,Flora intestinal y digestión
153363,Higiene y cuidado personal,Cabello,Anticaída
153368,Higiene y cuidado personal,Facial,Mascarillas
153387,Higiene y cuidado personal,Dental,Cepillos Interdentales
153406,Salud,Aparato Urinario,cistitis
153431,Salud,Belleza,Antienvejecimiento
153439,Cosmética y Belleza,Sol,Protectores solares
153444,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
"15350030,Salud,""Huesos, articulaciones y músculos"",Colágeno"
153509,Higiene y cuidado personal,Íntima,Incontinencia
153522,Cosmética y Belleza,Corporal,Estrias
153526,Salud,Vitaminas y Minerales,Suplementos
153538,Nutrición,Nutrición Deportiva,Energéticos
153541,Salud,Vitaminas y Minerales, Suplementos
153549,Cosmética y Belleza,Facial,Hidratantes
153552,Cosmética y Belleza,Facial,Antiarrugas
153553,Cosmética y Belleza,Facial,Hidratantes
153554,Cosmética y Belleza,Facial,Antiarrugas
153556,Cosmética y Belleza,Facial,Antiarrugas
153562,Cosmética y Belleza,Facial,Antiarrugas
153563,Cosmética y Belleza,Facial,Hidratantes
153564,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
153566,Salud,Vitaminas y Minerales,Multivitamínicos
153568,Salud,Salud Sexual,Lubricantes
153624,Salud,Vitaminas y Minerales,Multivitamínicos
153658,Higiene y cuidado personal,Íntima,Limpieza
153699,Cosmética y Belleza,Facial,Antimanchas
153712,Cosmética y Belleza,Ojos,Contorno de Ojos
153713,Salud,Botiquín,Quemaduras y cicatrices
153728,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
153729,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
153730,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
153732,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
153733,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
153735,Nutrición,Pérdida de peso,Productos sustitutivos y entrehoras
153766,Salud,Vitaminas y Minerales,Suplementos
153801,Salud,Vitaminas y Minerales,Suplementos
153805,Cosmética y Belleza,Facial,Hidratantes
153807,Cosmética y Belleza,Facial,Antiarrugas
153813,Cosmética y Belleza,Corporal,Urticaria y Psoriasis
153816,Cosmética y Belleza,Facial,Antiarrugas
153818,Cosmética y Belleza,Facial,Antiarrugas
153819,Infantil,Lactancia,Cuidado del Pezón
153820,Infantil,Lactancia,Pezoneras
153821,Infantil,Lactancia,Pezoneras
153822,Infantil,Lactancia,Pezoneras
153823,Infantil,Lactancia,Accesorios de extracción
153824,Infantil,Lactancia,Pezoneras
153826,Infantil,Lactancia,Cuidado del Pezón
153828,Infantil,Lactancia,Discos de Lactancia
153830,Infantil,Accesorios de alimentación,Esterilización y limpieza
153832,Infantil,Lactancia,Accesorios de extracción
153838,Infantil,Biberones,Tetinas
153839,Infantil,Biberones,Tetinas
153844,Infantil,Biberones,Biberones
153845,Infantil,Biberones,Biberones
153863.pack1,Cosmética y Belleza,Corporal,Celulitis
153876,Cosmética y Belleza,Corporal,Celulitis
153903,Salud,Aparato Urinario,cistitis
153925,Salud,Botiquín,Termómetros
153937,Higiene y cuidado personal,Dental,Blanqueamiento Dental
153973,Salud,Botiquín,Quemaduras y cicatrices
153978,Salud,Problemas cardiovasculares y circulación,Piernas cansadas y varices
153980,Cosmética y Belleza,Corporal,Hidratación
153982,Cosmética y Belleza,Corporal,Hidratación
153986,Cosmética y Belleza,Facial,Hidratantes
153987,Cosmética y Belleza,Ojos,Contorno de Ojos
154047,Higiene y cuidado personal,Dental,Cepillos
154054,Higiene y cuidado personal,Dental,Cepillos
154062,Higiene y cuidado personal,Dental,Cepillos
154065,Salud,Óptica,Salud ocular
154069,Cosmética y Belleza,Facial,Hidratantes
154083,Cosmética y Belleza,Facial,Antiarrugas
154102Mada,Higiene y cuidado personal,Dental,Colutorios
154104,Higiene y cuidado personal,Corporal,Desodorantes
154124,Higiene y cuidado personal,Dental,Dentífricos
154125,Higiene y cuidado personal,Dental,Dentífricos
154126,Infantil,Higiene infantil,Costra Láctea
154127,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
154160,Cosmética y Belleza,Ojos,Contorno de Ojos
154187,Cosmética y Belleza,Corporal,Hidratación
154192,Higiene y cuidado personal,Íntima,Limpieza
154196,Cosmética y Belleza,Corporal,Reductores y reafirmantes
154203,Higiene y cuidado personal,Cabello,Anticaspa
154206,Cosmética y Belleza,Manos,Crema de Manos
154210,Higiene y cuidado personal,Dental,Hilo Dental
154219,Higiene y cuidado personal,Facial,Exfoliantes
154233,Nutrición,Pérdida de peso,Quemagrasas
154241,Higiene y cuidado personal,Dental,Cuidados Especiales
154245,Cosmética y Belleza,Corporal,Hidratación
154250,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
154253,Higiene y cuidado personal,Cabello,Champu
154259,Cosmética y Belleza,Facial,Hidratantes
154267,Salud,Vitaminas y Minerales,Multivitamínicos
154268,Salud,Vitaminas y Minerales,Multivitamínicos
154270,Salud,Aparato Respiratorio,Garganta y tos
154277,Salud,Problemas cardiovasculares y circulación,Colesterol
154277x3,Salud,Problemas cardiovasculares y circulación,Colesterol
154280,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
"154289,Salud,Botiquín,""Apósitos, tiritas y gasas"""
154290,Higiene y cuidado personal,Cabello,Anticaspa
154295,Cosmética y Belleza,Facial,Antimanchas
154297,Cosmética y Belleza,Corporal,Hidratación
154305,Salud,Trastornos digestivos ,Flora intestinal y digestión
154335,Higiene y cuidado personal,Dental,Cuidados Especiales
154337,Higiene y cuidado personal,Dental,Cuidados Especiales
154340,Salud,Ortopedia,Lesiones
154346,Salud,Fertilidad,Fertilidad y concepción
154354,Salud,Vitaminas y Minerales,Multivitamínicos
154355,Salud,Vitaminas y Minerales,Multivitamínicos
154360,Cosmética y Belleza,Ojos,Contorno de Ojos
154363,Cosmética y Belleza,Facial,Antiarrugas
154367,Infantil,Biberones,Tetinas
154409,Cosmética y Belleza,Ojos,Contorno de Ojos
154414,Higiene y cuidado personal,Dental,Cepillos Interdentales
154418,Higiene y cuidado personal,Cabello,Anticaída
154480,Salud,Aparato Respiratorio,Garganta y tos
154483,Higiene y cuidado personal,Nariz y oído,Limpieza
154485,Infantil,Preparación al parto y maternidad,Fajas postparto
154486,Infantil,Preparación al parto y maternidad,Fajas postparto
154487,Infantil,Preparación al parto y maternidad,Fajas postparto
154488,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
154489,Cosmética y Belleza,Accesorios de Belleza,Peines o Cepillos
154490,Cosmética y Belleza,Uñas,Cortauñas y Tijeras
154491,Cosmética y Belleza,Uñas,Cortauñas y Tijeras
154493,Infantil,Preparación al parto y maternidad,Bragas y compresas postparto
154494,Infantil,Preparación al parto y maternidad,Bragas y compresas postparto
154495,Infantil,Preparación al parto y maternidad,Bragas y compresas postparto
154502,Cosmética y Belleza,Manos,Crema de Manos
154503,Cosmética y Belleza,Labial,Hidratantes Labiales
154540,Salud,Vitaminas y Minerales,Multivitamínicos
154541,Salud,Vitaminas y Minerales,Multivitamínicos
154563,Cosmética y Belleza,Facial,Antimanchas
154597,Cosmética y Belleza,Corporal,Hidratación
"154609,Salud,Botiquín,""Apósitos, tiritas y gasas"""
154653,Salud,Mujer,Embarazo y lactancia
"154659,Salud,Botiquín,""Apósitos, tiritas y gasas"""
154680,Higiene y cuidado personal,Corporal,Geles
154684.Verde,Infantil,Chupetes,PortaChupetes
154684blanco,Infantil,Chupetes,PortaChupetes
154711,Infantil,Juguetes,Mordedores
154711.neutro,Infantil,Juguetes,Mordedores
